City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guarapari,BR,2022-07-21 23:48:06,-20.6667,-40.4975,70.9,88,19,2.42
1,Aksarka,RU,2022-07-21 23:50:21,66.5606,67.7975,46.31,72,63,4.92
2,Grindavik,IS,2022-07-21 23:50:22,63.8424,-22.4338,53.55,100,100,4.61
3,Salinas,US,2022-07-21 23:45:37,36.6777,-121.6555,92.21,65,0,17.27
4,Saint George,US,2022-07-21 23:49:09,37.1041,-113.5841,110.62,11,0,24.16
5,Rawson,AR,2022-07-21 23:49:39,-43.3002,-65.1023,44.06,47,100,11.32
6,Katsuura,JP,2022-07-21 23:46:37,35.1333,140.3,84.22,86,38,16.31
7,Araouane,ML,2022-07-21 23:50:22,18.9048,-3.5265,90.88,41,26,8.86
8,Seremban,MY,2022-07-21 23:50:23,2.7297,101.9381,78.31,92,73,2.73
9,Rikitea,PF,2022-07-21 23:50:23,-23.1203,-134.9692,74.08,82,89,24.61
10,Sola,VU,2022-07-21 23:50:23,-13.8833,167.55,80.26,82,81,17.74
11,Goryachegorsk,RU,2022-07-21 23:50:24,55.4053,88.9154,56.35,96,85,4.05
12,Georgetown,MY,2022-07-21 23:45:40,5.4112,100.3354,80.53,93,20,3.44
13,Nayoro,JP,2022-07-21 23:50:24,44.3506,142.4578,72.32,61,0,2.15
14,Mataura,NZ,2022-07-21 23:50:24,-46.1927,168.8643,43.48,92,100,1.25
15,Port Lincoln,AU,2022-07-21 23:45:48,-34.7333,135.8667,56.26,63,100,18.5
16,Sao Gabriel Da Cachoeira,BR,2022-07-21 23:50:25,-0.1303,-67.0892,72.64,98,79,2.24
17,Phangnga,TH,2022-07-21 23:50:25,8.4509,98.5298,75.24,91,100,1.07
18,Leh,IN,2022-07-21 23:50:26,34.1667,77.5833,64.24,21,96,4.74
19,Tasiilaq,GL,2022-07-21 23:50:26,65.6145,-37.6368,38.16,81,87,4.85
20,Taksimo,RU,2022-07-21 23:49:06,56.3444,114.8794,62.65,86,100,1.7
21,Gazanjyk,TM,2022-07-21 23:50:26,39.2446,55.5154,81.41,58,0,12.28
22,Punta Arenas,CL,2022-07-21 23:47:25,-53.15,-70.9167,32.11,93,20,20.71
23,Kapaa,US,2022-07-21 23:50:27,22.0752,-159.319,85.98,69,20,16.11
24,College,US,2022-07-21 23:45:50,64.8569,-147.8028,65.59,58,100,6.91
25,Ambilobe,MG,2022-07-21 23:50:27,-13.2,49.05,64.2,75,15,5.06
26,Udachnyy,RU,2022-07-21 23:50:28,66.4167,112.4,50.45,100,100,5.53
27,Lata,PT,2022-07-21 23:50:28,40.1629,-8.3327,57.96,94,39,2.19
28,Vao,NC,2022-07-21 23:50:28,-22.6667,167.4833,73.83,90,55,19.24
29,Mpongwe,ZM,2022-07-21 23:50:29,-13.5091,28.155,57.02,74,20,5.99
30,Torrelavega,ES,2022-07-21 23:50:29,43.3494,-4.0479,70.65,95,91,4.0
31,Saint-Georges,GD,2022-07-21 23:50:24,12.0564,-61.7485,82.08,78,20,17.27
32,Provideniya,RU,2022-07-21 23:46:26,64.3833,-173.3,42.91,87,100,27.0
33,Kavieng,PG,2022-07-21 23:50:30,-2.5744,150.7967,81.93,78,100,12.26
34,Andover,GB,2022-07-21 23:50:30,51.2083,-1.4825,67.51,80,100,8.88
35,Lyuban,BY,2022-07-21 23:50:31,52.7985,28.0048,58.64,85,3,7.49
36,Constitucion,CL,2022-07-21 23:48:17,-35.3333,-72.4167,52.52,89,41,9.64
37,Mayo,US,2022-07-21 23:50:31,38.8876,-76.5119,88.21,85,100,6.91
38,Lorengau,PG,2022-07-21 23:50:31,-2.0226,147.2712,84.38,72,72,10.02
39,Butaritari,KI,2022-07-21 23:50:32,3.0707,172.7902,81.23,76,66,6.49
40,New Norfolk,AU,2022-07-21 23:50:32,-42.7826,147.0587,48.92,81,1,3.22
41,Los Llanos De Aridane,ES,2022-07-21 23:50:32,28.6585,-17.9182,67.75,83,11,17.27
42,Thompson,CA,2022-07-21 23:45:48,55.7435,-97.8558,68.16,64,75,8.05
43,Camacha,PT,2022-07-21 23:50:33,33.0833,-16.3333,65.62,73,75,17.27
44,Pisco,PE,2022-07-21 23:50:33,-13.7,-76.2167,60.85,82,100,16.11
45,Chokurdakh,RU,2022-07-21 23:50:34,70.6333,147.9167,55.94,32,3,7.67
46,Sanmenxia,CN,2022-07-21 23:51:34,34.7747,111.1814,71.42,97,100,4.76
47,Touros,BR,2022-07-21 23:51:35,-5.1989,-35.4608,74.48,88,100,8.72
48,Upernavik,GL,2022-07-21 23:51:35,72.7868,-56.1549,45.37,95,100,14.25
49,Kedougou,SN,2022-07-21 23:51:35,12.5579,-12.1743,79.38,94,40,4.61
50,Mancora,PE,2022-07-21 23:51:36,-4.1078,-81.0475,71.28,69,26,2.95
51,Albany,US,2022-07-21 23:51:36,42.6001,-73.9662,88.18,59,17,8.99
52,Batesville,US,2022-07-21 23:47:03,35.7698,-91.641,95.41,45,0,8.05
53,Yerbogachen,RU,2022-07-21 23:51:36,61.2767,108.0108,63.86,72,99,3.24
54,Barrow,US,2022-07-21 23:48:03,71.2906,-156.7887,46.42,76,20,26.46
55,Mareeba,AU,2022-07-21 23:51:37,-17.0,145.4333,73.49,76,10,2.75
56,Launceston,AU,2022-07-21 23:51:37,-41.45,147.1667,51.33,81,10,6.91
57,Vaini,TO,2022-07-21 23:51:38,-21.2,-175.2,78.96,83,40,5.75
58,Ushuaia,AR,2022-07-21 23:50:11,-54.8,-68.3,31.66,86,75,27.63
59,Saskylakh,RU,2022-07-21 23:51:38,71.9167,114.0833,52.63,62,100,7.81
60,Puerto Baquerizo Moreno,EC,2022-07-21 23:51:39,-0.9,-89.6,72.59,78,40,5.75
61,Cabo San Lucas,MX,2022-07-21 23:51:39,22.8909,-109.9124,97.18,60,59,13.71
62,Arraial Do Cabo,BR,2022-07-21 23:51:39,-22.9661,-42.0278,66.16,88,0,4.61
63,Norman Wells,CA,2022-07-21 23:51:40,65.282,-126.8329,75.24,50,75,3.44
64,Cape Town,ZA,2022-07-21 23:49:32,-33.9258,18.4232,57.38,82,20,1.14
65,Bengkulu,ID,2022-07-21 23:51:40,-3.8004,102.2655,75.31,90,69,4.23
66,Ahipara,NZ,2022-07-21 23:51:40,-35.1667,173.1667,59.16,63,74,8.1
67,Vestmannaeyjar,IS,2022-07-21 23:48:44,63.4427,-20.2734,52.16,96,100,5.37
68,Mocuba,MZ,2022-07-21 23:51:41,-16.8392,36.9856,60.75,96,5,1.7
69,Geraldton,AU,2022-07-21 23:47:32,-28.7667,114.6,54.01,94,100,6.91
70,Yumen,CN,2022-07-21 23:51:41,40.2833,97.2,69.73,25,0,6.11
71,Hilo,US,2022-07-21 23:51:42,19.7297,-155.09,86.29,88,100,6.91
72,Kamaishi,JP,2022-07-21 23:47:44,39.2667,141.8833,71.89,98,98,3.38
73,Alekseyevka,RU,2022-07-21 23:51:42,50.6309,38.6903,56.21,93,99,8.37
74,Karratha,AU,2022-07-21 23:51:42,-20.7377,116.8463,70.03,77,1,6.98
75,Grasse,FR,2022-07-21 23:51:43,43.6667,6.9167,74.19,73,0,3.44
76,Kuleshovka,RU,2022-07-21 23:51:43,47.078,39.5579,70.93,67,69,5.66
